uf,uf_codigo,ano,populacao,fonte,metodo
PE,26,2017,9434839,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PE,26,2018,9496735,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PE,26,2019,9557517,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PE,26,2020,9617072,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PE,26,2021,9675249,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PE,26,2022,9731843,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PE,26,2023,9786666,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PE,26,2024,9839619,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PE,26,2025,9890556,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
PE,26,2026,9939342,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
AL,27,2015,3279222,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
AL,27,2016,3293629,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
AL,27,2017,3307532,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
AL,27,2018,3322379,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
AL,27,2019,3336911,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
AL,27,2020,3351092,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
AL,27,2021,3364895,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
AL,27,2022,3378277,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
AL,27,2023,3391204,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
AL,27,2024,3403637,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
AL,27,2025,3415514,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
AL,27,2026,3426799,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SE,28,2015,2216657,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SE,28,2016,2237132,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SE,28,2017,2257266,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SE,28,2018,2278308,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SE,28,2019,2298902,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SE,28,2020,2319032,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SE,28,2021,2338688,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SE,28,2022,2357840,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SE,28,2023,2376447,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SE,28,2024,2394484,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SE,28,2025,2411922,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
SE,28,2026,2428742,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
BA,29,2015,14629018,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
BA,29,2016,14689684,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
BA,29,2017,14749868,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
BA,29,2018,14812617,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
BA,29,2019,14872858,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
BA,29,2020,14930424,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
BA,29,2021,14985070,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
BA,29,2022,15036517,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
BA,29,2023,15084600,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
BA,29,2024,15129225,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
BA,29,2025,15170253,IBGE SIDRA tabela 7358 Projecao da Populacao edicao 2018,projecao_oficial_ibge
